STT,Date,VN_AQI,Benzen,CH4,CO,Compass,EthylBenzen,HC,HCL,MMHC,Mp-Xylen,NMHC,NO,NO2,NO2,NOx,Oxylen,PM-10,PM-2-5,PX2-1,SO2,SO2,THC,Toluren,WinDir+(sai)
1,04/11/2025,41,-,-,11,-,-,-,-,-,-,-,-,23,23,-,-,24,41,-,12,12,-,-,-
2,03/11/2025,18,-,-,7,-,-,-,-,-,-,-,-,16,16,-,-,14,18,-,11,11,-,-,-
3,02/11/2025,23,-,-,4,-,-,-,-,-,-,-,-,13,13,-,-,16,23,-,11,11,-,-,-
4,01/11/2025,20,-,-,9,-,-,-,-,-,-,-,-,17,17,-,-,14,20,-,11,11,-,-,-
5,31/10/2025,30,-,-,9,-,-,-,-,-,-,-,-,17,17,-,-,21,30,-,11,11,-,-,-
6,30/10/2025,88,-,-,9,-,-,-,-,-,-,-,-,26,26,-,-,53,88,-,11,11,-,-,-
7,29/10/2025,117,-,-,14,-,-,-,-,-,-,-,-,44,44,-,-,66,117,-,16,16,-,-,-
8,28/10/2025,75,-,-,10,-,-,-,-,-,-,-,-,35,35,-,-,50,75,-,16,16,-,-,-
9,27/10/2025,66,-,-,10,-,-,-,-,-,-,-,-,33,33,-,-,45,66,-,13,13,-,-,-
10,26/10/2025,101,-,-,8,-,-,-,-,-,-,-,-,32,32,-,-,60,101,-,13,13,-,-,-
11,25/10/2025,76,-,-,10,-,-,-,-,-,-,-,-,34,34,-,-,52,76,-,14,14,-,-,-
12,24/10/2025,35,-,-,8,-,-,-,-,-,-,-,-,20,20,-,-,21,35,-,11,11,-,-,-
13,23/10/2025,42,-,-,6,-,-,-,-,-,-,-,-,21,21,-,-,16,27,-,11,11,-,-,-
14,22/10/2025,37,-,-,8,-,-,-,-,-,-,-,-,23,23,-,-,24,33,-,12,12,-,-,-
15,21/10/2025,50,-,-,8,-,-,-,-,-,-,-,-,24,24,-,-,41,50,-,11,11,-,-,-
16,20/10/2025,69,-,-,9,-,-,-,-,-,-,-,-,24,24,-,-,53,69,-,12,12,-,-,-
17,19/10/2025,109,-,-,9,-,-,-,-,-,-,-,-,32,32,-,-,63,109,-,14,14,-,-,-
18,18/10/2025,110,-,-,14,-,-,-,-,-,-,-,-,38,38,-,-,66,110,-,16,16,-,-,-
19,17/10/2025,88,-,-,13,-,-,-,-,-,-,-,-,49,49,-,-,57,88,-,12,12,-,-,-
20,16/10/2025,66,-,-,19,-,-,-,-,-,-,-,-,33,33,-,-,49,66,-,12,12,-,-,-
21,15/10/2025,68,-,-,22,-,-,-,-,-,-,-,-,30,30,-,-,54,68,-,13,13,-,-,-
22,14/10/2025,62,-,-,16,-,-,-,-,-,-,-,-,15,15,-,-,46,62,-,14,14,-,-,-
23,13/10/2025,68,-,-,25,-,-,-,-,-,-,-,-,24,24,-,-,49,68,-,12,12,-,-,-
24,12/10/2025,101,-,-,12,-,-,-,-,-,-,-,-,40,40,-,-,61,101,-,13,13,-,-,-
25,11/10/2025,106,-,-,17,-,-,-,-,-,-,-,-,45,45,-,-,62,106,-,12,12,-,-,-
26,10/10/2025,106,-,-,15,-,-,-,-,-,-,-,-,59,59,-,-,63,106,-,14,14,-,-,-
27,09/10/2025,90,-,-,10,-,-,-,-,-,-,-,-,38,38,-,-,57,90,-,12,12,-,-,-
28,08/10/2025,61,-,-,32,-,-,-,-,-,-,-,-,33,33,-,-,41,61,-,13,13,-,-,-
29,07/10/2025,39,-,-,13,-,-,-,-,-,-,-,-,27,27,-,-,21,28,-,11,11,-,-,-
30,06/10/2025,85,-,-,11,-,-,-,-,-,-,-,-,17,17,-,-,54,85,-,12,12,-,-,-
