Date,Day_Of_Week,VN_AQI,CO,PM-10,PM-2-5,SO2,mon,tu,wed,thu,fri,sat,sun,north,middle,south,spring,summer,autumn,winter,dry,rain
2025-11-04,1,41,11,24,41,12,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2025-11-03,0,18,7,14,18,11,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2025-11-02,6,23,4,16,23,11,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
2025-11-01,5,20,9,14,20,11,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
2025-10-31,4,30,9,21,30,11,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
2025-10-30,3,88,9,53,88,11,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
2025-10-29,2,117,14,66,117,16,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
2025-10-28,1,75,10,50,75,16,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2025-10-27,0,66,10,45,66,13,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2025-10-26,6,101,8,60,101,13,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
2025-10-25,5,76,10,52,76,14,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
2025-10-24,4,35,8,21,35,11,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
2025-10-23,3,42,6,16,27,11,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
2025-10-22,2,37,8,24,33,12,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
2025-10-21,1,50,8,41,50,11,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2025-10-20,0,69,9,53,69,12,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2025-10-19,6,109,9,63,109,14,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
2025-10-18,5,110,14,66,110,16,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
2025-10-17,4,88,13,57,88,12,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
2025-10-16,3,66,19,49,66,12,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
2025-10-15,2,68,22,54,68,13,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
2025-10-14,1,62,16,46,62,14,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2025-10-13,0,68,25,49,68,12,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2025-10-12,6,101,12,61,101,13,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
2025-10-11,5,106,17,62,106,12,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
2025-10-10,4,106,15,63,106,14,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
2025-10-09,3,90,10,57,90,12,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
2025-10-08,2,61,32,41,61,13,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
2025-10-07,1,39,13,21,28,11,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2025-10-06,0,85,11,54,85,12,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
