Date,VN_AQI,CO,NO2,PM-10,PM-2-5,SO2
06/10/2025,51,17,17,51,25,3
05/10/2025,48,17,13,48,27,3
04/10/2025,57,16,21,57,43,2
03/10/2025,46,20,27,46,26,2
02/10/2025,52,18,24,52,33,2
01/10/2025,39,19,33,39,24,3
30/09/2025,50,19,14,50,32,1
29/09/2025,20,9,15,20,13,1
28/09/2025,17,6,10,17,11,1
27/09/2025,29,14,15,29,20,1
26/09/2025,37,16,12,37,21,1
25/09/2025,30,10,8,30,15,1
24/09/2025,40,20,14,40,25,5
23/09/2025,44,16,16,44,28,4
22/09/2025,23,11,13,23,13,3
21/09/2025,33,12,16,33,19,3
20/09/2025,42,9,18,42,27,3
19/09/2025,29,7,12,29,19,3
18/09/2025,44,26,28,44,30,4
17/09/2025,35,20,23,35,25,5
16/09/2025,36,11,25,36,21,3
15/09/2025,51,17,24,51,35,12
14/09/2025,28,17,17,28,18,3
13/09/2025,47,13,27,47,33,3
12/09/2025,40,13,26,40,25,3
11/09/2025,51,15,30,51,33,4
10/09/2025,50,24,31,50,34,4
09/09/2025,53,19,22,53,40,4
08/09/2025,49,17,20,35,21,4
07/09/2025,41,8,17,30,20,3
06/09/2025,46,8,21,37,24,3
05/09/2025,47,8,27,31,20,3
04/09/2025,45,12,28,25,17,3
03/09/2025,40,15,24,25,18,3
02/09/2025,43,7,11,16,11,3
01/09/2025,45,5,12,25,15,2
31/08/2025,43,7,12,32,22,3
30/08/2025,42,9,16,22,16,3
29/08/2025,38,14,26,26,17,4
28/08/2025,38,11,25,30,18,3
27/08/2025,42,9,19,42,29,4
26/08/2025,46,4,21,25,16,3
25/08/2025,45,3,10,26,15,3
24/08/2025,61,2,10,29,18,3
23/08/2025,63,4,19,38,28,3
22/08/2025,77,11,19,27,17,3
21/08/2025,95,5,30,22,15,3
20/08/2025,100,6,32,55,45,3
19/08/2025,48,6,30,45,30,3
18/08/2025,56,5,21,31,21,3
17/08/2025,45,-,18,28,17,3
16/08/2025,42,-,20,37,25,3
15/08/2025,58,58,22,53,36,3
14/08/2025,57,57,13,45,27,3
13/08/2025,61,61,14,48,31,3
12/08/2025,56,56,10,41,29,3
11/08/2025,54,54,13,33,21,3
10/08/2025,105,54,10,36,22,3
09/08/2025,65,62,22,65,49,3
08/08/2025,83,49,23,50,35,3
07/08/2025,98,61,20,57,41,7
06/08/2025,92,54,11,35,23,4
05/08/2025,75,51,24,41,21,4
04/08/2025,103,62,17,45,31,4
03/08/2025,75,56,12,47,34,4
02/08/2025,62,62,19,53,38,5
01/08/2025,54,54,7,48,29,3
31/07/2025,49,43,6,42,26,3
30/07/2025,53,53,13,45,30,3
29/07/2025,58,58,11,37,22,4
28/07/2025,51,51,-,29,19,2
27/07/2025,51,51,-,35,18,2
26/07/2025,62,62,1,53,31,2
25/07/2025,53,53,1,51,29,2
24/07/2025,58,58,1,52,32,3
23/07/2025,59,59,2,55,29,10
22/07/2025,56,56,-,37,22,2
21/07/2025,62,62,-,25,16,2
20/07/2025,61,61,-,24,15,1
19/07/2025,60,60,-,36,23,1
18/07/2025,61,61,8,44,32,3
17/07/2025,59,59,-,42,29,3
16/07/2025,59,59,12,31,20,3
15/07/2025,49,15,1,49,31,3
14/07/2025,63,53,1,63,35,3
13/07/2025,51,-,-,51,34,3
12/07/2025,52,52,-,43,26,3
11/07/2025,50,50,-,35,24,4
10/07/2025,59,59,1,43,32,2
09/07/2025,60,60,1,35,23,2
08/07/2025,62,62,1,32,23,3
07/07/2025,55,55,2,26,19,1
06/07/2025,31,-,-,31,20,1
05/07/2025,46,46,1,37,23,1
04/07/2025,49,49,1,41,26,1
03/07/2025,33,-,1,33,23,1
02/07/2025,54,54,2,37,21,2
01/07/2025,41,41,2,39,28,2
30/06/2025,59,59,3,44,30,2
29/06/2025,32,28,2,32,20,1
28/06/2025,47,31,3,47,32,3
27/06/2025,49,34,6,49,32,2
26/06/2025,35,35,6,23,17,2
15/06/2025,57,13,5,57,35,2
14/06/2025,47,18,8,47,30,2
13/06/2025,31,11,5,31,18,1
12/06/2025,37,10,5,37,24,2
11/06/2025,33,9,6,33,20,2
10/06/2025,50,16,5,50,27,3
09/06/2025,28,10,5,28,20,3
08/06/2025,34,4,4,34,21,2
07/06/2025,46,7,7,46,32,2
06/06/2025,50,4,5,50,33,2
05/06/2025,56,8,7,56,42,2
04/06/2025,45,5,8,45,33,1
03/06/2025,54,11,9,54,36,3
02/06/2025,41,11,10,41,29,3
01/06/2025,49,7,6,49,33,2
31/05/2025,37,10,8,37,20,1
30/05/2025,29,9,7,29,20,2
29/05/2025,32,8,12,32,20,2
28/05/2025,43,13,11,43,29,2
27/05/2025,32,7,7,32,21,2
26/05/2025,35,9,7,35,21,2
25/05/2025,42,12,8,42,35,3
24/05/2025,46,14,15,46,33,3
23/05/2025,38,15,13,38,29,2
22/05/2025,42,9,7,42,28,2
21/05/2025,60,17,11,60,56,4
20/05/2025,57,14,12,57,41,3
19/05/2025,30,8,9,30,16,3
18/05/2025,40,8,9,40,28,3
17/05/2025,52,8,10,52,34,3
16/05/2025,41,14,9,41,33,3
15/05/2025,48,14,12,48,33,3
14/05/2025,50,14,13,50,32,3
13/05/2025,55,6,14,55,43,2
12/05/2025,37,-,11,37,26,2
11/05/2025,51,-,13,51,39,2
10/05/2025,31,-,15,31,26,1
09/05/2025,26,-,10,26,20,1
08/05/2025,37,-,14,37,32,1
07/05/2025,94,14,47,33,23,1
06/05/2025,51,-,15,51,40,1
05/05/2025,48,-,17,48,35,2
04/05/2025,38,-,19,38,26,1
03/05/2025,30,-,13,30,19,1
02/05/2025,35,-,13,35,21,2
01/05/2025,40,-,12,40,25,1
30/04/2025,48,-,12,48,36,1
29/04/2025,44,-,23,44,27,2
28/04/2025,38,-,22,38,25,1
27/04/2025,44,-,15,44,32,1
26/04/2025,44,-,21,44,33,1
25/04/2025,46,-,19,46,32,2
24/04/2025,56,-,23,56,46,1
23/04/2025,53,-,24,53,42,1
22/04/2025,30,-,11,30,18,1
21/04/2025,33,-,23,33,26,1
