Date,VN_AQI,CO,NO2,PM-10,PM-2-5,SO2
06/10/2025,37,4,37,14,19,4
05/10/2025,53,3,53,12,17,4
04/10/2025,39,3,39,16,22,4
03/10/2025,47,3,47,17,24,4
02/10/2025,58,3,58,21,31,4
01/10/2025,58,4,58,18,27,4
30/09/2025,47,3,47,14,20,4
29/09/2025,60,5,60,14,20,4
28/09/2025,28,3,28,7,10,4
27/09/2025,74,4,74,11,15,5
26/09/2025,75,4,75,13,18,4
25/09/2025,72,4,72,12,18,5
24/09/2025,20,1,20,6,7,5
23/09/2025,55,3,55,8,12,4
22/09/2025,60,4,60,14,20,4
21/09/2025,52,4,52,16,24,4
20/09/2025,65,4,65,15,21,4
19/09/2025,90,4,90,20,26,4
18/09/2025,39,2,39,14,20,4
17/09/2025,52,2,52,17,25,4
16/09/2025,64,4,64,17,24,4
15/09/2025,46,3,46,16,23,4
14/09/2025,58,3,58,12,16,4
13/09/2025,58,3,58,14,19,4
12/09/2025,67,3,67,23,33,4
11/09/2025,47,3,47,17,24,5
10/09/2025,53,3,53,19,27,4
09/09/2025,37,3,37,16,22,5
08/09/2025,32,2,32,11,14,4
07/09/2025,38,4,38,11,15,4
06/09/2025,50,3,50,8,11,4
05/09/2025,58,3,58,14,20,3
04/09/2025,48,3,48,14,20,3
03/09/2025,38,3,38,13,18,4
02/09/2025,23,2,23,10,15,4
01/09/2025,31,3,31,13,19,3
31/08/2025,62,4,62,18,26,4
30/08/2025,55,3,55,14,19,4
29/08/2025,69,3,69,16,22,4
28/08/2025,53,3,53,11,15,4
27/08/2025,67,5,67,12,17,5
26/08/2025,56,3,56,19,27,2
25/08/2025,40,3,40,13,17,2
24/08/2025,48,4,48,12,17,1
23/08/2025,48,4,48,18,25,2
22/08/2025,37,3,37,14,20,1
21/08/2025,71,4,71,24,32,2
20/08/2025,66,6,66,26,38,1
19/08/2025,72,4,72,19,26,2
18/08/2025,63,4,63,13,17,2
17/08/2025,43,4,43,12,17,2
16/08/2025,53,4,53,16,22,2
15/08/2025,48,4,48,15,20,2
14/08/2025,69,6,69,20,29,2
13/08/2025,51,4,51,16,20,2
12/08/2025,43,3,43,16,23,2
11/08/2025,38,3,38,16,22,2
10/08/2025,58,4,58,17,23,2
09/08/2025,49,4,49,26,35,2
08/08/2025,59,4,59,24,34,2
07/08/2025,60,6,60,29,42,3
06/08/2025,35,5,30,24,35,3
05/08/2025,83,5,83,32,46,4
04/08/2025,44,4,44,23,29,4
03/08/2025,35,5,35,22,31,4
02/08/2025,60,6,60,27,35,5
01/08/2025,29,2,29,18,23,6
31/07/2025,24,4,24,16,19,6
30/07/2025,18,1,18,12,13,6
29/07/2025,21,1,21,14,16,3
28/07/2025,28,0,12,20,28,1
14/07/2025,60,4,60,18,25,1
13/07/2025,48,5,48,28,37,1
12/07/2025,41,7,41,30,38,1
11/07/2025,32,3,32,18,21,1
10/07/2025,24,2,24,15,18,1
09/07/2025,68,3,68,15,17,2
08/07/2025,46,2,46,19,22,2
07/07/2025,36,2,36,13,16,2
06/07/2025,33,3,33,12,15,1
05/07/2025,64,4,64,17,24,1
04/07/2025,37,3,37,14,20,2
03/07/2025,50,4,50,18,25,2
02/07/2025,56,3,56,12,16,1
07/06/2025,33,3,33,18,26,1
24/05/2025,48,4,48,1,-,1
23/05/2025,31,2,31,1,-,2
22/05/2025,44,4,44,1,2,1
21/05/2025,57,4,57,1,-,1
19/05/2025,47,4,47,1,-,1
11/05/2025,39,3,39,1,-,-
10/05/2025,47,4,47,1,-,1
09/05/2025,36,3,36,1,2,1
08/05/2025,40,3,40,1,2,1
07/05/2025,44,4,44,2,4,1
06/05/2025,37,4,37,3,5,1
05/05/2025,24,3,24,2,4,1
04/05/2025,35,3,35,3,4,1
03/05/2025,38,4,38,4,7,1
02/05/2025,47,4,47,5,7,2
01/05/2025,23,4,23,7,11,1
30/04/2025,44,3,44,13,20,1
28/04/2025,37,10,37,9,13,2
27/04/2025,49,3,49,27,36,18
26/04/2025,55,4,55,42,48,1
25/04/2025,46,2,31,39,46,1
24/04/2025,42,2,42,26,40,1
23/04/2025,45,2,45,27,40,2
22/04/2025,51,3,51,26,38,1
21/04/2025,70,4,70,37,44,1
20/04/2025,52,2,51,52,43,1
19/04/2025,49,2,35,49,42,-
18/04/2025,66,3,38,66,55,-
17/04/2025,52,3,39,52,46,1
16/04/2025,54,2,33,54,53,1
15/04/2025,66,3,66,52,55,1
14/04/2025,89,2,46,89,45,2
13/04/2025,123,3,58,123,39,1
12/04/2025,140,3,54,140,40,2
11/04/2025,63,3,53,63,54,2
10/04/2025,35,3,35,9,17,-
09/04/2025,102,4,71,102,55,1
08/04/2025,95,4,55,95,60,1
07/04/2025,139,3,50,139,60,1
06/04/2025,88,3,59,88,58,1
05/04/2025,88,4,88,59,53,1
04/04/2025,76,4,72,76,57,1
03/04/2025,71,3,71,60,35,2
02/04/2025,97,3,97,59,29,2
01/04/2025,66,3,66,50,25,2
31/03/2025,79,3,79,17,27,1
30/03/2025,58,3,39,58,39,1
29/03/2025,75,3,75,52,39,1
28/03/2025,70,4,70,52,45,1
27/03/2025,77,3,77,70,62,1
26/03/2025,71,3,67,71,52,2
25/03/2025,73,4,73,70,50,2
24/03/2025,89,4,77,89,49,1
23/03/2025,94,4,94,62,55,1
22/03/2025,93,3,93,73,54,1
21/03/2025,101,3,101,95,57,1
20/03/2025,136,4,103,136,51,1
19/03/2025,71,3,71,67,26,1
18/03/2025,101,3,101,20,19,1
17/03/2025,103,22,103,22,30,2
16/03/2025,75,4,73,75,46,2
15/03/2025,67,4,67,59,41,1
14/03/2025,77,4,77,54,34,1
