Date,VN_AQI,CO,NO2,PM-10,PM-2-5,SO2
06/10/2025,70,21,16,58,70,1
05/10/2025,90,27,39,66,90,2
04/10/2025,55,18,22,50,55,1
03/10/2025,40,21,23,39,40,1
02/10/2025,42,19,26,40,42,2
01/10/2025,151,20,151,30,42,18
30/09/2025,40,18,31,18,15,1
29/09/2025,35,11,22,17,18,1
28/09/2025,39,19,38,39,37,1
27/09/2025,45,26,45,36,36,2
26/09/2025,53,24,53,53,50,1
25/09/2025,53,22,50,53,51,1
24/09/2025,62,26,54,59,62,1
23/09/2025,74,19,74,53,65,1
22/09/2025,45,14,44,33,45,1
21/09/2025,74,14,57,57,74,1
20/09/2025,97,18,97,63,70,1
19/09/2025,61,20,56,57,61,1
18/09/2025,63,25,63,57,61,1
17/09/2025,56,27,56,43,41,2
16/09/2025,78,15,78,37,38,1
15/09/2025,53,17,53,37,37,1
14/09/2025,45,12,45,33,33,1
13/09/2025,52,11,52,32,32,1
12/09/2025,36,14,36,34,29,1
11/09/2025,40,15,40,34,31,1
10/09/2025,74,19,74,56,69,1
09/09/2025,58,24,56,51,58,2
08/09/2025,102,23,69,67,102,3
07/09/2025,45,14,-,44,45,3
06/09/2025,36,9,-,35,36,3
05/09/2025,40,13,-,40,40,9
04/09/2025,448,15,0,37,41,448
03/09/2025,37,15,0,33,37,1
02/09/2025,42,16,-,32,42,1
01/09/2025,62,19,-,52,62,1
31/08/2025,30,12,-,25,30,1
30/08/2025,33,18,-,33,30,1
29/08/2025,63,22,34,59,63,2
28/08/2025,78,23,31,58,78,1
27/08/2025,39,27,39,22,28,2
26/08/2025,18,15,-,13,18,1
25/08/2025,33,30,-,33,29,2
24/08/2025,64,17,-,58,64,2
23/08/2025,50,18,50,40,37,2
22/08/2025,40,17,34,40,39,1
21/08/2025,50,12,41,50,44,1
20/08/2025,44,17,44,41,39,1
19/08/2025,31,15,31,29,29,1
18/08/2025,56,25,56,49,42,2
17/08/2025,50,18,30,50,41,1
16/08/2025,38,14,38,29,33,1
15/08/2025,48,14,48,35,41,10
14/08/2025,82,22,70,61,82,13
13/08/2025,55,12,29,51,55,3
12/08/2025,41,10,21,39,41,3
11/08/2025,46,12,21,43,46,3
10/08/2025,34,18,21,34,32,4
09/08/2025,45,12,29,45,42,4
08/08/2025,50,12,27,48,50,4
07/08/2025,41,16,30,40,41,4
06/08/2025,40,14,23,34,40,3
05/08/2025,50,13,33,50,43,4
04/08/2025,40,17,27,40,31,4
03/08/2025,48,12,31,48,43,7
02/08/2025,54,15,28,49,54,4
01/08/2025,34,16,32,34,31,4
31/07/2025,43,21,28,43,43,4
30/07/2025,58,12,38,54,58,4
29/07/2025,94,12,27,63,94,4
28/07/2025,67,17,38,56,67,4
27/07/2025,51,12,26,46,51,3
26/07/2025,56,14,31,44,56,3
25/07/2025,50,14,38,43,50,3
24/07/2025,27,10,27,26,26,4
23/07/2025,32,13,32,22,24,3
22/07/2025,17,11,-,16,17,3
21/07/2025,50,19,29,50,49,3
20/07/2025,49,11,28,49,46,3
19/07/2025,68,16,37,59,68,3
18/07/2025,52,16,34,52,51,4
17/07/2025,51,11,24,51,50,4
16/07/2025,44,11,25,44,40,3
15/07/2025,80,18,31,65,80,4
14/07/2025,72,23,47,58,72,3
13/07/2025,52,11,30,52,47,4
12/07/2025,42,12,35,42,35,3
11/07/2025,46,17,39,46,40,3
10/07/2025,48,16,38,48,42,4
09/07/2025,70,10,26,58,70,4
08/07/2025,52,13,27,52,45,4
07/07/2025,55,15,27,51,55,3
06/07/2025,40,11,29,40,39,3
05/07/2025,53,12,34,51,53,3
04/07/2025,58,14,35,55,58,3
03/07/2025,44,16,38,42,44,3
02/07/2025,25,9,23,24,25,3
01/07/2025,25,10,25,23,24,2
30/06/2025,33,11,27,33,32,3
29/06/2025,50,11,25,49,50,3
28/06/2025,35,12,29,35,35,3
27/06/2025,40,10,29,40,39,3
26/06/2025,42,9,25,42,39,3
25/06/2025,41,16,21,36,41,3
24/06/2025,60,18,6,51,60,3
23/06/2025,60,18,6,53,60,3
22/06/2025,38,19,5,29,38,3
21/06/2025,46,21,7,46,44,4
20/06/2025,78,21,7,59,78,3
19/06/2025,66,18,6,58,66,3
18/06/2025,50,18,7,50,41,3
17/06/2025,59,21,7,55,59,3
16/06/2025,50,26,7,46,50,3
15/06/2025,63,19,6,53,63,4
14/06/2025,61,20,8,55,61,3
13/06/2025,53,25,8,53,49,3
12/06/2025,59,29,7,59,58,3
11/06/2025,67,25,1,63,67,4
10/06/2025,54,26,1,52,54,3
09/06/2025,60,23,1,57,60,3
08/06/2025,50,18,0,50,50,2
07/06/2025,47,16,1,47,44,2
06/06/2025,54,17,1,54,51,3
05/06/2025,74,26,1,62,74,3
04/06/2025,56,17,0,50,56,3
03/06/2025,38,19,0,38,35,3
02/06/2025,50,24,1,50,35,3
01/06/2025,45,18,1,45,33,3
31/05/2025,52,19,1,52,51,3
30/05/2025,38,17,1,38,35,3
29/05/2025,35,17,0,34,35,2
28/05/2025,84,23,1,59,84,3
27/05/2025,88,29,1,64,88,3
26/05/2025,40,17,0,35,40,2
25/05/2025,38,18,1,36,38,3
24/05/2025,43,25,1,43,42,3
23/05/2025,42,24,1,42,37,3
22/05/2025,48,22,1,48,43,2
21/05/2025,49,25,1,49,43,2
20/05/2025,54,20,1,52,54,2
19/05/2025,46,22,1,39,46,3
18/05/2025,38,16,1,38,32,3
17/05/2025,33,17,1,30,33,2
16/05/2025,44,20,1,43,44,2
15/05/2025,45,15,1,45,44,3
14/05/2025,51,21,1,51,49,3
13/05/2025,83,17,1,58,60,3
12/05/2025,66,18,1,59,66,3
11/05/2025,31,18,1,31,29,3
10/05/2025,64,18,1,58,64,3
09/05/2025,64,19,1,54,64,2
08/05/2025,65,20,1,57,65,3
07/05/2025,56,18,0,52,56,3
06/05/2025,62,21,1,54,62,3
05/05/2025,80,21,1,57,71,3
04/05/2025,58,18,1,52,58,3
03/05/2025,61,17,1,55,61,3
02/05/2025,115,20,1,55,63,3
01/05/2025,42,15,1,37,42,2
30/04/2025,61,18,1,50,61,3
29/04/2025,78,29,1,67,78,3
28/04/2025,53,29,1,53,48,3
27/04/2025,60,19,1,54,60,3
26/04/2025,53,19,1,53,52,3
25/04/2025,54,26,2,50,54,3
24/04/2025,69,16,1,57,69,3
23/04/2025,78,17,1,62,78,3
22/04/2025,86,19,1,66,86,3
21/04/2025,64,25,1,59,64,3
20/04/2025,60,14,1,55,60,3
19/04/2025,94,15,2,66,83,4
18/04/2025,88,19,1,80,88,3
17/04/2025,108,23,2,107,108,4
16/04/2025,137,21,3,137,137,13
15/04/2025,140,31,3,127,140,5
14/04/2025,128,28,4,128,122,6
13/04/2025,105,18,3,105,93,4
12/04/2025,108,24,4,71,108,3
11/04/2025,84,19,4,60,84,3
10/04/2025,76,21,5,59,76,3
09/04/2025,88,23,6,67,88,3
08/04/2025,91,22,7,67,91,3
07/04/2025,97,18,6,66,97,3
06/04/2025,98,20,8,66,98,3
05/04/2025,81,25,8,58,81,3
04/04/2025,76,19,8,62,76,6
03/04/2025,92,24,10,68,92,14
02/04/2025,120,24,12,88,120,6
01/04/2025,86,26,11,73,86,5
31/03/2025,45,23,10,45,43,3
