Date,VN_AQI,CO,NO2,PM-10,PM-2-5,SO2
06/10/2025,94,13,18,60,94,13
05/10/2025,117,11,18,71,117,18
04/10/2025,97,11,18,61,97,19
03/10/2025,46,12,15,33,46,21
02/10/2025,47,13,21,30,47,20
01/10/2025,51,12,15,34,51,20
30/09/2025,45,13,17,36,45,32
29/09/2025,33,8,21,27,33,28
28/09/2025,32,10,19,28,32,30
27/09/2025,40,10,20,38,40,38
26/09/2025,51,16,20,46,51,34
25/09/2025,30,12,19,22,19,30
24/09/2025,37,12,22,31,24,37
23/09/2025,44,11,21,44,41,27
22/09/2025,33,12,22,33,32,21
21/09/2025,58,9,20,54,58,22
20/09/2025,71,11,27,57,71,25
19/09/2025,58,8,22,58,53,24
18/09/2025,60,15,25,53,60,25
17/09/2025,47,14,20,47,43,27
16/09/2025,44,11,22,44,39,25
15/09/2025,66,12,30,66,60,17
14/09/2025,99,14,42,99,94,9
13/09/2025,57,10,40,57,42,10
12/09/2025,29,9,28,29,19,10
11/09/2025,41,12,34,41,31,10
10/09/2025,51,9,37,51,51,11
09/09/2025,66,9,36,62,66,12
08/09/2025,120,12,37,77,75,13
07/09/2025,89,8,33,56,43,16
06/09/2025,58,10,39,58,37,16
05/09/2025,53,9,30,53,31,31
04/09/2025,61,13,35,43,27,61
03/09/2025,44,10,23,20,16,18
02/09/2025,34,15,22,30,34,23
01/09/2025,61,12,22,55,61,20
31/08/2025,44,11,14,38,44,18
30/08/2025,30,10,15,29,29,22
29/08/2025,46,12,34,46,45,39
28/08/2025,38,14,38,20,21,30
27/08/2025,29,6,29,15,21,14
26/08/2025,52,17,28,51,52,45
25/08/2025,44,18,27,42,44,5
24/08/2025,58,18,38,53,58,5
23/08/2025,54,20,41,54,50,5
22/08/2025,51,18,16,51,30,5
21/08/2025,64,17,20,64,51,6
20/08/2025,41,17,22,41,34,6
19/08/2025,36,16,21,34,36,6
18/08/2025,43,16,30,41,43,6
17/08/2025,42,21,39,42,37,7
16/08/2025,49,15,49,41,33,7
15/08/2025,40,14,40,36,38,8
14/08/2025,52,18,44,52,51,17
13/08/2025,42,10,31,27,24,25
12/08/2025,29,10,26,28,22,11
11/08/2025,69,15,56,55,69,10
10/08/2025,38,10,24,38,31,10
09/08/2025,42,8,20,28,22,11
08/08/2025,38,9,23,38,35,11
07/08/2025,45,9,36,45,44,10
06/08/2025,88,10,30,60,88,10
05/08/2025,104,9,22,41,37,13
04/08/2025,106,8,23,29,24,12
03/08/2025,39,8,20,39,29,13
02/08/2025,76,8,19,20,19,14
01/08/2025,45,9,28,23,19,14
31/07/2025,53,10,26,47,53,10
30/07/2025,54,9,23,41,37,11
29/07/2025,101,8,24,55,66,11
28/07/2025,76,11,32,61,76,11
27/07/2025,68,8,23,52,68,12
26/07/2025,68,10,30,53,68,14
25/07/2025,82,11,23,60,82,21
24/07/2025,46,8,26,46,39,19
23/07/2025,63,8,22,59,63,20
22/07/2025,50,5,8,17,15,18
21/07/2025,45,11,38,29,42,38
19/07/2025,187,18,31,51,50,8
18/07/2025,167,20,40,48,41,9
17/07/2025,174,17,41,29,37,28
16/07/2025,117,13,31,13,24,29
15/07/2025,168,18,39,27,52,49
14/07/2025,144,13,50,40,77,46
13/07/2025,158,10,25,18,35,51
12/07/2025,115,11,32,10,19,51
11/07/2025,116,15,37,15,28,46
10/07/2025,129,17,48,21,38,46
09/07/2025,157,14,44,31,56,42
08/07/2025,195,15,40,24,43,25
07/07/2025,153,12,37,17,31,26
06/07/2025,118,10,29,10,19,23
05/07/2025,145,18,34,16,29,15
04/07/2025,144,17,33,12,22,17
03/07/2025,47,16,34,4,8,22
02/07/2025,49,14,36,7,13,40
01/07/2025,39,14,24,3,5,18
30/06/2025,50,18,26,5,9,22
29/06/2025,47,16,29,6,11,11
28/06/2025,37,16,33,7,13,12
27/06/2025,47,18,37,11,21,16
26/06/2025,72,13,24,14,25,19
25/06/2025,52,11,27,12,23,41
24/06/2025,106,12,29,17,30,106
23/06/2025,116,10,28,18,33,87
22/06/2025,58,9,32,2,4,8
21/06/2025,110,10,31,10,18,18
20/06/2025,117,11,47,40,73,11
19/06/2025,108,12,41,39,72,17
18/06/2025,113,13,30,19,33,17
17/06/2025,93,20,38,22,40,31
16/06/2025,127,23,41,10,19,30
15/06/2025,210,27,30,24,44,30
14/06/2025,157,25,38,45,83,24
13/06/2025,109,22,29,14,24,22
12/06/2025,110,30,34,28,51,25
11/06/2025,178,45,36,26,47,26
10/06/2025,124,43,29,7,9,27
09/06/2025,71,44,39,14,13,31
08/06/2025,127,40,29,4,4,29
07/06/2025,116,38,34,8,7,28
06/06/2025,188,50,28,8,6,49
05/06/2025,231,43,25,10,10,31
04/06/2025,231,48,34,14,12,188
03/06/2025,218,40,21,14,12,31
02/06/2025,218,44,37,20,14,92
31/05/2025,190,26,14,-,-,33
30/05/2025,218,29,33,7,8,34
29/05/2025,187,28,25,1,0,35
28/05/2025,223,26,33,7,8,33
27/05/2025,178,31,35,4,4,96
26/05/2025,194,23,36,29,26,111
24/05/2025,120,12,21,-,-,30
23/05/2025,151,15,29,0,0,31
22/05/2025,174,11,30,5,4,33
21/05/2025,108,11,21,7,5,32
20/05/2025,9,-,3,-,-,9
19/05/2025,52,-,7,-,-,52
18/05/2025,21,-,5,4,4,21
17/05/2025,62,-,16,5,4,19
16/05/2025,200,10,26,6,5,15
15/05/2025,188,10,21,7,6,16
14/05/2025,160,10,23,7,6,17
13/05/2025,208,10,42,19,15,75
12/05/2025,222,15,27,35,27,65
11/05/2025,152,4,0,-,-,-
10/05/2025,153,6,25,6,6,-
09/05/2025,194,5,17,13,11,-
08/05/2025,170,4,7,11,9,-
04/05/2025,16,0,2,6,6,-
03/05/2025,15,0,2,8,7,-
02/05/2025,21,0,3,12,13,-
01/05/2025,17,0,2,5,4,-
30/04/2025,18,0,3,12,16,-
29/04/2025,22,0,7,19,22,-
28/04/2025,0,-,-,-,-,-
27/04/2025,0,-,-,-,-,-
26/04/2025,0,-,-,-,-,-
25/04/2025,0,-,-,-,-,-
24/04/2025,0,-,-,-,-,-
23/04/2025,0,-,-,-,-,-
22/04/2025,0,-,-,-,-,-
21/04/2025,0,-,-,-,-,-
20/04/2025,1,-,-,-,-,-
19/04/2025,1,-,-,-,-,-
18/04/2025,1,-,-,-,-,-
17/04/2025,2,-,-,-,-,-
16/04/2025,8,-,-,-,-,-
14/04/2025,8,-,-,0,0,8
09/11/2023,2,0,2,0,0,0
30/10/2023,6,0,6,0,0,0
29/10/2023,6,0,6,-,-,0
28/10/2023,8,0,8,0,1,0
27/10/2023,17,0,17,1,1,0
26/10/2023,15,0,15,1,1,1
25/10/2023,12,0,12,1,1,0
24/10/2023,21,0,21,1,2,0
23/10/2023,13,0,13,1,2,0
22/10/2023,9,0,9,1,1,0
21/10/2023,11,0,11,1,2,0
20/10/2023,9,0,9,2,2,2
04/10/2023,5,0,5,-,-,2
12/09/2023,10,0,10,0,0,4
07/09/2023,7,0,7,1,1,2
21/08/2023,9,0,9,0,0,-
20/08/2023,8,0,8,0,0,-
19/08/2023,12,0,12,1,1,-
18/08/2023,15,0,15,1,2,-
17/08/2023,18,0,18,1,1,-
16/08/2023,15,0,15,1,1,-
15/08/2023,10,0,10,1,1,3
11/08/2023,9,0,9,-,-,-
10/08/2023,14,0,14,0,0,-
09/08/2023,8,0,8,0,0,-
08/08/2023,8,0,8,0,1,-
07/08/2023,6,0,6,0,0,-
06/08/2023,6,0,6,0,0,-
05/08/2023,6,0,6,-,-,-
04/08/2023,9,0,9,-,-,-
03/08/2023,10,0,10,0,0,0
06/06/2023,6,0,6,0,0,2
05/06/2023,6,0,6,0,0,1
04/06/2023,4,0,4,0,0,1
03/06/2023,6,0,6,0,0,1
02/06/2023,5,0,5,-,-,1
01/06/2023,7,0,7,0,0,1
31/05/2023,5,0,5,0,0,1
30/05/2023,5,0,5,-,-,1
29/05/2023,5,0,5,0,0,1
28/05/2023,5,0,5,0,0,1
27/05/2023,8,0,8,0,0,1
26/05/2023,7,0,7,-,-,1
25/05/2023,7,0,7,0,0,1
24/05/2023,5,0,5,0,0,1
23/05/2023,7,0,7,0,0,1
22/05/2023,7,0,7,0,0,1
21/05/2023,3,0,3,0,0,1
20/05/2023,5,0,5,0,0,1
19/05/2023,7,0,7,0,0,1
18/05/2023,8,0,8,0,0,2
17/05/2023,7,0,7,0,0,1
16/05/2023,4,0,4,0,0,1
15/05/2023,8,0,8,0,0,1
14/05/2023,9,0,9,0,0,1
13/05/2023,6,0,6,0,0,1
12/05/2023,7,0,7,0,0,1
11/05/2023,5,0,5,0,0,1
10/05/2023,5,0,5,0,0,1
09/05/2023,8,0,8,0,0,1
08/05/2023,6,0,6,0,0,1
07/05/2023,4,0,4,0,0,1
06/05/2023,5,0,5,0,0,2
05/05/2023,4,0,4,0,0,1
04/05/2023,3,0,3,0,0,1
03/05/2023,3,0,3,0,0,1
02/05/2023,5,0,5,0,0,1
01/05/2023,5,0,5,0,0,1
30/04/2023,4,0,4,0,0,1
29/04/2023,5,0,5,0,0,1
28/04/2023,4,0,4,0,0,1
27/04/2023,6,0,6,1,1,1
26/04/2023,10,0,10,2,3,1
25/04/2023,8,0,8,1,1,1
24/04/2023,4,0,4,1,1,1
23/04/2023,6,0,6,1,1,1
22/04/2023,5,0,5,1,2,1
21/04/2023,9,0,9,1,2,2
20/04/2023,10,0,10,1,2,2
19/04/2023,6,0,6,1,2,1
18/04/2023,6,0,6,0,0,2
17/04/2023,4,0,4,1,1,1
16/04/2023,7,0,7,1,1,1
15/04/2023,10,0,10,2,2,1
14/04/2023,9,0,9,0,0,1
13/04/2023,82,82,15,0,0,1
12/04/2023,88,88,20,0,0,0
11/04/2023,56,56,20,1,2,0
10/04/2023,62,62,23,2,3,1
09/04/2023,70,70,13,1,2,0
08/04/2023,59,59,15,2,3,0
07/04/2023,67,67,22,3,4,0
06/04/2023,54,54,12,1,2,0
05/04/2023,93,93,12,1,2,0
04/04/2023,120,120,12,1,2,28
03/04/2023,86,86,9,-,-,-
02/04/2023,71,71,16,-,-,-
01/04/2023,102,102,22,-,-,-
31/03/2023,94,94,24,-,-,-
30/03/2023,80,80,19,-,-,-
29/03/2023,176,176,16,-,-,-
28/03/2023,158,158,14,-,-,-
27/03/2023,138,138,14,-,-,-
26/03/2023,210,210,10,-,-,-
25/03/2023,102,102,14,-,-,-
24/03/2023,140,140,16,0,0,-
23/03/2023,135,135,14,0,0,-
22/03/2023,76,76,11,0,0,-
21/03/2023,80,80,13,0,0,-
20/03/2023,500,500,6,0,0,-
19/03/2023,500,500,2,0,0,-
18/03/2023,394,394,9,0,0,71
17/03/2023,43,43,9,0,0,-
16/03/2023,64,64,15,0,0,-
15/03/2023,68,68,17,0,0,-
14/03/2023,91,91,22,0,0,-
13/03/2023,64,64,24,0,0,-
12/03/2023,69,69,20,0,0,-
11/03/2023,64,64,17,0,0,-
10/03/2023,79,79,22,0,0,-
09/03/2023,106,106,16,0,0,-
08/03/2023,95,95,21,0,0,-
07/03/2023,218,218,12,0,0,-
06/03/2023,95,95,15,0,0,-
05/03/2023,103,103,17,0,0,27
04/03/2023,132,132,22,0,0,83
03/03/2023,86,86,29,0,0,83
02/03/2023,224,224,18,0,0,81
01/03/2023,70,67,23,0,0,70
28/02/2023,94,94,29,0,0,79
27/02/2023,81,72,26,0,0,81
26/02/2023,118,118,21,0,0,62
25/02/2023,112,112,33,0,0,52
24/02/2023,74,74,28,0,0,53
23/02/2023,61,61,15,0,0,51
22/02/2023,136,136,21,0,0,51
21/02/2023,83,83,21,0,0,53
20/02/2023,118,118,24,0,0,47
19/02/2023,170,170,11,0,0,45
18/02/2023,123,123,18,0,0,44
17/02/2023,180,180,29,0,1,50
16/02/2023,95,95,22,0,1,50
15/02/2023,128,128,17,0,0,45
14/02/2023,121,121,14,0,0,42
13/02/2023,118,118,14,0,0,42
12/02/2023,101,101,5,0,0,42
11/02/2023,146,146,6,0,0,41
10/02/2023,140,140,9,0,0,40
09/02/2023,61,61,10,0,0,44
08/02/2023,314,314,9,0,0,58
07/02/2023,410,410,10,0,0,42
06/02/2023,500,500,7,0,0,48
05/02/2023,347,347,7,0,0,51
04/02/2023,500,500,8,0,0,48
03/02/2023,500,500,21,0,0,47
02/02/2023,500,500,31,0,0,49
01/02/2023,500,500,25,0,0,59
31/01/2023,69,-,27,0,1,69
30/01/2023,54,-,27,1,1,54
29/01/2023,500,500,29,1,1,53
28/01/2023,500,500,32,0,1,48
27/01/2023,500,500,13,0,0,45
26/01/2023,500,500,14,0,0,43
25/01/2023,500,500,4,0,0,41
22/01/2023,51,-,8,0,0,51
21/01/2023,56,-,17,0,1,56
20/01/2023,48,-,20,0,0,48
19/01/2023,46,-,16,0,0,46
18/01/2023,91,91,18,0,0,43
17/01/2023,247,247,18,0,0,44
16/01/2023,500,500,13,0,0,42
15/01/2023,500,500,18,0,0,41
14/01/2023,500,500,40,0,0,42
13/01/2023,500,500,27,0,0,41
