Date,VN_AQI,CO,NO2,PM-10,PM-2-5,SO2
06/10/2025,55,7,12,37,55,4
05/10/2025,100,7,18,60,100,8
04/10/2025,66,6,12,47,66,9
03/10/2025,62,6,13,45,62,10
02/10/2025,49,8,12,37,49,5
01/10/2025,47,18,17,34,47,4
30/09/2025,19,7,11,13,19,2
29/09/2025,64,9,11,42,64,9
28/09/2025,56,4,12,43,56,15
27/09/2025,38,4,14,29,38,7
26/09/2025,35,7,20,26,35,3
25/09/2025,48,6,13,33,48,6
24/09/2025,115,8,13,65,115,14
23/09/2025,84,23,15,50,68,84
22/09/2025,63,13,10,41,63,4
21/09/2025,123,8,6,66,123,4
20/09/2025,118,8,7,65,118,6
19/09/2025,72,6,11,50,72,4
18/09/2025,64,8,11,50,64,6
17/09/2025,63,8,18,46,63,7
16/09/2025,60,7,10,44,60,7
15/09/2025,50,4,12,34,50,7
14/09/2025,78,6,12,51,78,14
13/09/2025,47,4,7,35,47,3
12/09/2025,32,4,8,26,32,2
11/09/2025,38,3,11,29,38,2
10/09/2025,82,6,14,53,82,2
09/09/2025,58,4,14,43,58,2
08/09/2025,109,11,10,61,109,3
07/09/2025,88,17,17,55,88,2
06/09/2025,60,4,19,43,60,2
05/09/2025,64,5,10,43,64,2
04/09/2025,60,5,8,40,60,2
03/09/2025,56,5,7,37,56,2
02/09/2025,55,5,5,38,55,2
01/09/2025,57,7,8,42,57,2
31/08/2025,58,5,9,44,58,2
30/08/2025,81,16,16,52,81,3
29/08/2025,66,8,12,48,66,2
28/08/2025,60,6,9,40,60,2
27/08/2025,37,18,8,21,37,2
26/08/2025,47,4,8,32,47,2
25/08/2025,52,3,10,43,52,2
24/08/2025,81,3,10,55,81,2
23/08/2025,54,5,16,38,54,2
22/08/2025,31,1,11,30,31,2
21/08/2025,34,3,11,28,34,2
20/08/2025,43,-,9,35,43,2
19/08/2025,42,-,7,31,42,2
17/08/2025,51,2,8,41,51,8
16/08/2025,44,1,6,31,44,6
15/08/2025,51,3,7,35,51,6
14/08/2025,108,4,16,60,108,2
13/08/2025,90,3,13,55,90,5
12/08/2025,49,1,9,37,49,6
11/08/2025,54,1,8,38,54,3
10/08/2025,46,1,10,30,46,3
09/08/2025,53,1,22,41,53,9
08/08/2025,61,3,16,44,61,6
07/08/2025,44,3,12,30,44,6
06/08/2025,29,0,6,19,29,4
05/08/2025,89,2,11,54,89,6
04/08/2025,74,2,17,53,74,4
03/08/2025,84,2,9,56,84,2
02/08/2025,90,2,8,56,90,13
01/08/2025,34,1,5,26,34,9
31/07/2025,64,3,11,48,64,10
30/07/2025,104,2,11,62,104,2
29/07/2025,132,4,13,71,132,5
28/07/2025,123,7,11,65,123,13
27/07/2025,83,3,9,53,83,9
26/07/2025,52,2,11,37,52,12
25/07/2025,48,6,13,36,48,20
24/07/2025,36,3,14,29,36,5
23/07/2025,23,3,13,18,23,5
22/07/2025,30,4,6,19,30,6
21/07/2025,57,2,10,42,57,4
20/07/2025,50,1,7,36,50,7
19/07/2025,104,4,9,61,104,2
18/07/2025,107,-,14,61,107,12
17/07/2025,55,1,14,38,55,2
16/07/2025,39,4,17,29,39,2
15/07/2025,90,6,12,58,90,2
14/07/2025,74,4,15,50,74,2
13/07/2025,46,3,9,32,46,2
12/07/2025,52,4,9,39,52,2
11/07/2025,50,-,9,34,50,2
10/07/2025,50,1,7,34,50,2
09/07/2025,100,3,12,59,100,1
08/07/2025,81,35,26,52,81,1
07/07/2025,75,13,11,52,75,2
06/07/2025,54,13,11,41,54,1
05/07/2025,77,14,12,54,77,2
04/07/2025,54,11,12,41,54,1
03/07/2025,32,11,10,23,32,1
02/07/2025,37,9,11,23,37,1
01/07/2025,37,-,17,25,37,2
30/06/2025,46,9,11,23,46,2
29/06/2025,30,13,18,22,30,2
28/06/2025,52,11,12,39,52,2
27/06/2025,41,5,11,27,41,1
26/06/2025,54,5,13,38,54,1
25/06/2025,63,10,9,38,63,1
24/06/2025,43,13,13,32,43,2
23/06/2025,41,4,11,29,41,2
22/06/2025,40,8,10,26,40,1
21/06/2025,34,4,12,23,34,1
20/06/2025,49,7,18,36,49,1
19/06/2025,45,2,14,40,45,1
18/06/2025,49,3,15,41,49,1
17/06/2025,61,19,33,44,61,1
16/06/2025,49,7,11,34,49,2
15/06/2025,108,7,16,59,108,2
14/06/2025,103,8,17,61,103,6
13/06/2025,50,4,20,39,50,4
12/06/2025,93,7,22,57,93,9
11/06/2025,76,12,33,54,76,5
10/06/2025,42,5,13,31,42,3
09/06/2025,77,9,12,53,77,2
08/06/2025,46,6,38,37,46,1
07/06/2025,57,8,57,45,57,1
06/06/2025,50,4,3,39,50,1
05/06/2025,92,8,13,59,92,1
04/06/2025,113,52,113,43,61,6
03/06/2025,53,5,9,39,53,7
02/06/2025,92,9,12,59,92,1
01/06/2025,55,6,11,45,55,2
31/05/2025,54,4,10,39,54,5
30/05/2025,52,9,5,38,52,11
29/05/2025,58,6,9,42,58,6
28/05/2025,94,7,8,55,94,7
27/05/2025,78,7,10,53,78,7
26/05/2025,54,5,5,42,54,5
25/05/2025,49,3,5,37,49,7
24/05/2025,78,9,6,56,78,6
23/05/2025,39,6,6,30,39,2
22/05/2025,41,3,14,37,41,1
21/05/2025,51,51,32,38,43,1
20/05/2025,41,8,16,32,41,1
19/05/2025,59,16,16,36,59,6
18/05/2025,40,6,17,27,40,2
17/05/2025,34,8,12,25,34,2
16/05/2025,49,7,18,32,49,1
15/05/2025,52,7,27,36,52,6
14/05/2025,68,6,21,50,68,14
13/05/2025,84,10,22,57,84,13
12/05/2025,90,11,22,61,90,14
11/05/2025,51,8,16,42,51,8
10/05/2025,102,8,29,60,102,10
09/05/2025,70,7,24,52,70,3
08/05/2025,69,6,13,52,69,33
07/05/2025,56,6,16,43,56,37
06/05/2025,63,7,15,47,63,6
05/05/2025,70,6,11,49,70,2
04/05/2025,62,6,12,45,62,2
03/05/2025,66,5,11,48,66,3
02/05/2025,109,14,14,62,109,15
01/05/2025,66,15,16,43,66,5
30/04/2025,108,10,15,60,108,5
29/04/2025,107,10,17,62,107,10
28/04/2025,70,8,20,52,70,9
27/04/2025,63,6,15,44,63,1
26/04/2025,84,7,34,57,84,13
25/04/2025,65,8,14,50,65,8
24/04/2025,109,7,14,67,109,7
23/04/2025,101,9,12,63,101,9
22/04/2025,80,5,7,55,80,2
21/04/2025,73,7,10,55,73,4
20/04/2025,72,4,10,53,72,4
19/04/2025,93,7,8,62,93,3
18/04/2025,107,6,7,72,107,3
17/04/2025,119,5,17,93,119,3
16/04/2025,162,7,17,129,162,13
15/04/2025,165,9,-,115,165,21
14/04/2025,164,9,-,123,164,23
13/04/2025,151,6,-,114,151,8
12/04/2025,130,10,-,84,130,11
11/04/2025,91,6,-,57,91,3
10/04/2025,82,6,14,58,82,2
09/04/2025,81,6,17,54,81,2
08/04/2025,139,8,25,75,139,5
07/04/2025,112,8,15,58,112,1
06/04/2025,147,7,26,74,147,10
05/04/2025,73,7,22,49,73,3
04/04/2025,134,5,16,83,134,4
03/04/2025,151,8,27,82,151,25
02/04/2025,157,60,44,88,157,63
01/04/2025,115,8,32,68,115,11
