Date,VN_AQI,CO,NO2,PM-10,PM-2-5,SO2
06/10/2025,43,19,9,38,43,1
05/10/2025,49,19,14,41,49,1
04/10/2025,28,16,14,27,28,1
03/10/2025,30,17,12,30,27,1
02/10/2025,35,17,26,29,35,1
01/10/2025,26,21,12,26,22,1
30/09/2025,53,19,9,40,53,1
29/09/2025,46,22,15,34,46,2
28/09/2025,40,15,8,22,18,1
27/09/2025,61,18,61,45,42,1
26/09/2025,24,19,19,24,24,1
25/09/2025,50,28,32,49,50,2
24/09/2025,52,20,22,49,52,1
23/09/2025,64,21,21,52,64,1
22/09/2025,30,12,12,30,25,1
21/09/2025,34,12,25,31,34,1
20/09/2025,33,14,16,31,33,1
19/09/2025,27,17,13,27,25,1
18/09/2025,27,17,20,23,27,1
17/09/2025,25,19,14,22,25,2
16/09/2025,26,13,10,25,26,2
15/09/2025,25,23,14,23,25,2
14/09/2025,33,12,15,28,33,2
13/09/2025,33,13,13,31,33,3
12/09/2025,34,18,10,32,34,2
11/09/2025,29,16,25,28,29,2
10/09/2025,39,18,21,36,39,2
09/09/2025,36,16,20,36,35,2
08/09/2025,39,14,13,36,39,3
07/09/2025,30,11,9,25,30,1
06/09/2025,27,15,10,27,26,2
05/09/2025,30,16,10,30,27,2
04/09/2025,30,12,9,30,30,3
03/09/2025,31,12,14,25,26,1
02/09/2025,20,10,12,16,17,1
01/09/2025,24,9,12,23,24,1
31/08/2025,25,9,10,24,25,1
30/08/2025,35,28,18,28,35,4
29/08/2025,34,18,21,31,34,2
27/08/2025,21,10,14,15,21,2
26/08/2025,56,22,56,34,36,1
25/08/2025,56,13,56,27,34,1
24/08/2025,58,12,58,24,33,2
23/08/2025,32,11,12,29,32,2
22/08/2025,29,10,15,29,29,1
21/08/2025,34,8,27,34,33,1
20/08/2025,38,12,15,36,38,3
19/08/2025,36,15,19,36,32,3
18/08/2025,34,11,18,34,34,2
17/08/2025,25,13,14,23,25,3
16/08/2025,25,14,11,24,25,22
15/08/2025,38,15,1,38,38,3
14/08/2025,34,19,1,34,31,2
13/08/2025,32,12,1,32,31,2
12/08/2025,32,14,1,32,31,2
11/08/2025,36,14,1,36,30,2
10/08/2025,40,16,1,37,40,3
09/08/2025,38,12,1,35,38,3
08/08/2025,35,12,1,32,35,2
07/08/2025,46,17,1,44,46,3
06/08/2025,46,15,1,42,46,2
05/08/2025,41,15,1,38,41,3
04/08/2025,55,17,1,53,55,3
03/08/2025,53,13,1,51,53,3
02/08/2025,51,15,1,51,50,3
01/08/2025,56,16,1,54,56,3
31/07/2025,52,14,1,52,49,3
30/07/2025,24,9,1,24,21,2
29/07/2025,49,21,1,45,49,3
28/07/2025,25,14,5,25,23,2
27/07/2025,34,9,1,29,34,2
26/07/2025,31,16,1,28,31,2
25/07/2025,30,11,1,30,30,3
24/07/2025,38,11,1,37,38,2
23/07/2025,49,11,1,49,45,3
22/07/2025,43,12,1,43,43,3
21/07/2025,27,11,1,27,22,3
20/07/2025,25,9,2,25,24,2
19/07/2025,40,15,1,40,40,3
18/07/2025,40,10,1,31,34,2
17/07/2025,30,13,1,28,30,2
16/07/2025,31,10,1,31,31,2
15/07/2025,35,9,1,35,33,2
14/07/2025,43,11,1,35,43,2
13/07/2025,49,10,1,40,49,2
12/07/2025,46,9,1,42,46,2
11/07/2025,50,11,1,50,50,3
10/07/2025,53,15,1,47,53,2
09/07/2025,48,14,1,46,48,2
08/07/2025,46,17,12,41,46,3
07/07/2025,38,12,1,38,36,2
06/07/2025,29,9,1,29,27,2
05/07/2025,28,8,2,28,26,2
04/07/2025,28,18,2,27,28,2
03/07/2025,29,19,1,18,29,2
02/07/2025,31,17,2,31,30,3
01/07/2025,30,17,2,30,29,2
