Date,VN_AQI,CO,NO2,PM-10,PM-2-5,SO2
06/10/2025,85,11,17,54,85,12
05/10/2025,100,10,37,60,100,13
04/10/2025,88,16,40,56,88,15
03/10/2025,70,18,27,45,70,15
02/10/2025,62,21,30,48,62,13
01/10/2025,53,15,23,47,53,11
30/09/2025,38,6,21,23,33,11
29/09/2025,35,7,11,19,35,11
28/09/2025,42,6,32,32,42,11
27/09/2025,45,10,22,32,45,11
26/09/2025,58,12,24,39,58,11
25/09/2025,61,15,18,40,61,11
24/09/2025,69,8,25,49,69,13
23/09/2025,81,10,34,55,81,14
22/09/2025,67,19,37,51,67,17
21/09/2025,95,13,33,61,95,15
20/09/2025,100,12,49,60,100,13
19/09/2025,82,13,34,54,82,13
18/09/2025,76,13,29,53,76,13
17/09/2025,74,22,25,52,74,12
16/09/2025,65,11,40,47,65,23
15/09/2025,58,13,25,42,58,14
14/09/2025,63,11,31,46,63,14
13/09/2025,45,15,27,37,45,13
12/09/2025,45,19,25,36,45,12
11/09/2025,56,16,19,44,56,13
10/09/2025,79,14,38,56,79,14
09/09/2025,72,21,31,52,72,15
08/09/2025,130,12,49,71,130,15
07/09/2025,76,11,54,52,76,29
06/09/2025,61,14,37,43,61,18
05/09/2025,61,15,33,43,61,13
04/09/2025,49,17,38,38,49,13
03/09/2025,54,17,1,43,54,12
02/09/2025,58,12,1,42,58,11
01/09/2025,70,21,1,50,70,11
31/08/2025,47,12,1,35,47,11
30/08/2025,35,10,3,30,35,11
29/08/2025,80,17,-,53,80,12
28/08/2025,81,20,1,54,81,13
27/08/2025,40,31,1,27,40,12
26/08/2025,36,16,1,18,29,11
25/08/2025,32,7,1,24,32,10
24/08/2025,83,11,1,56,83,11
23/08/2025,66,22,1,50,66,13
22/08/2025,39,12,8,31,37,11
21/08/2025,55,14,37,44,55,10
20/08/2025,37,11,20,31,16,11
19/08/2025,35,13,22,25,35,10
18/08/2025,47,12,20,36,47,10
17/08/2025,60,23,29,47,60,11
16/08/2025,53,13,32,41,53,13
15/08/2025,49,18,35,39,49,15
14/08/2025,104,20,52,63,104,11
13/08/2025,70,17,35,51,70,15
12/08/2025,54,14,26,46,54,15
11/08/2025,63,18,35,50,63,12
10/08/2025,60,16,25,44,60,15
09/08/2025,61,9,33,43,61,12
08/08/2025,61,14,29,48,61,12
07/08/2025,72,19,43,51,72,14
06/08/2025,75,17,37,53,75,13
05/08/2025,71,14,45,50,71,12
04/08/2025,44,17,27,33,44,13
03/08/2025,57,11,33,48,57,13
02/08/2025,87,11,46,57,87,12
01/08/2025,41,11,34,33,41,11
31/07/2025,57,9,32,46,57,11
30/07/2025,89,16,42,58,89,15
29/07/2025,115,12,40,66,115,12
28/07/2025,85,11,34,57,85,11
27/07/2025,64,8,30,46,64,11
26/07/2025,76,12,33,53,76,12
25/07/2025,77,15,25,55,77,15
24/07/2025,49,14,24,39,49,16
23/07/2025,44,15,28,30,44,11
22/07/2025,33,5,7,14,17,10
21/07/2025,121,7,18,45,121,11
19/07/2025,130,8,29,71,130,15
18/07/2025,82,13,31,55,82,17
17/07/2025,62,12,44,48,62,12
16/07/2025,62,17,41,49,62,12
15/07/2025,111,19,44,66,111,11
14/07/2025,97,15,41,59,97,12
13/07/2025,48,8,30,34,48,11
12/07/2025,48,8,21,35,48,10
11/07/2025,51,9,25,-,51,10
10/07/2025,47,14,34,-,47,11
09/07/2025,92,13,47,-,92,12
08/07/2025,74,16,45,-,74,12
07/07/2025,72,17,38,54,72,11
06/07/2025,59,17,28,47,59,11
05/07/2025,77,11,38,57,77,11
04/07/2025,62,14,45,50,62,11
03/07/2025,56,18,35,49,56,11
02/07/2025,41,13,39,34,41,13
01/07/2025,41,16,41,29,37,10
30/06/2025,40,12,23,34,40,11
29/06/2025,54,10,32,43,54,10
28/06/2025,56,12,27,46,56,10
27/06/2025,70,19,38,52,70,16
26/06/2025,50,13,31,40,50,12
25/06/2025,47,9,23,36,47,10
24/06/2025,65,10,25,48,65,10
23/06/2025,69,12,28,52,69,11
22/06/2025,50,14,24,40,50,10
21/06/2025,59,13,27,45,59,10
20/06/2025,89,14,31,57,89,10
19/06/2025,101,16,32,61,101,-
18/06/2025,54,10,26,43,54,-
17/06/2025,78,14,31,57,78,-
16/06/2025,62,20,35,50,62,-
15/06/2025,88,12,52,55,88,-
14/06/2025,69,8,31,50,69,-
13/06/2025,43,6,18,34,43,-
12/06/2025,60,8,22,46,60,-
11/06/2025,102,9,27,54,81,-
10/06/2025,53,9,23,40,53,-
09/06/2025,66,13,44,52,66,-
08/06/2025,94,13,21,50,64,-
07/06/2025,135,10,78,44,57,-
06/06/2025,129,11,21,48,62,-
05/06/2025,102,9,43,57,90,-
04/06/2025,76,13,76,51,67,-
03/06/2025,63,15,41,48,63,11
02/06/2025,59,16,31,44,59,-
01/06/2025,55,10,24,45,55,-
31/05/2025,66,8,26,50,66,-
30/05/2025,59,10,32,42,59,6
29/05/2025,44,16,-,33,44,6
28/05/2025,99,13,-,61,99,-
27/05/2025,108,11,-,66,108,-
26/05/2025,61,16,-,47,61,-
25/05/2025,38,5,-,33,38,-
24/05/2025,46,9,-,38,46,-
23/05/2025,51,21,-,42,51,-
22/05/2025,55,8,-,47,55,-
21/05/2025,61,13,-,49,61,6
20/05/2025,63,11,-,49,63,6
19/05/2025,56,11,-,43,56,6
18/05/2025,48,8,-,38,48,6
17/05/2025,52,10,-,37,52,-
16/05/2025,62,15,-,45,62,-
15/05/2025,66,14,-,47,66,-
14/05/2025,77,14,-,54,77,-
13/05/2025,97,15,-,62,97,-
12/05/2025,93,11,-,60,93,-
11/05/2025,39,10,-,31,39,-
10/05/2025,95,15,-,62,95,-
09/05/2025,86,11,-,56,86,6
08/05/2025,79,8,-,54,79,6
07/05/2025,71,-,-,51,71,6
06/05/2025,81,-,-,55,81,6
05/05/2025,91,5,-,58,91,6
04/05/2025,70,3,-,51,70,6
03/05/2025,82,3,57,55,82,6
02/05/2025,74,5,-,51,74,6
01/05/2025,61,6,-,42,61,6
30/04/2025,93,4,-,59,93,6
29/04/2025,98,6,-,62,98,6
28/04/2025,74,8,-,53,74,6
27/04/2025,84,3,-,56,84,6
26/04/2025,85,6,-,58,85,6
25/04/2025,72,7,-,52,72,6
24/04/2025,103,7,-,65,103,6
23/04/2025,114,7,-,68,114,6
22/04/2025,107,9,-,68,107,6
21/04/2025,84,7,-,57,84,6
20/04/2025,97,4,-,60,97,6
19/04/2025,123,7,-,72,123,6
18/04/2025,148,9,-,91,148,6
17/04/2025,154,8,-,102,154,6
16/04/2025,177,8,-,135,177,6
15/04/2025,177,7,-,126,177,6
14/04/2025,168,8,-,121,168,6
13/04/2025,143,4,-,94,143,6
12/04/2025,130,16,-,74,130,6
11/04/2025,104,16,-,65,104,6
10/04/2025,95,21,-,60,95,6
09/04/2025,86,14,-,56,86,6
08/04/2025,122,16,72,73,122,6
07/04/2025,114,13,92,73,114,6
