Date,VN_AQI,CO,NO2,PM-10,PM-2-5,SO2
06/10/2025,57,9,33,44,57,-
05/10/2025,86,9,33,58,86,-
04/10/2025,57,9,33,48,57,0
03/10/2025,41,6,33,34,41,-
02/10/2025,33,8,32,27,33,-
01/10/2025,33,6,33,22,25,-
30/09/2025,33,5,33,22,12,-
29/09/2025,33,6,33,19,13,-
28/09/2025,38,8,33,31,38,-
27/09/2025,33,7,33,29,30,1
26/09/2025,50,8,33,42,50,-
25/09/2025,58,8,33,42,58,-
24/09/2025,63,7,33,63,59,-
23/09/2025,55,9,33,50,55,-
22/09/2025,45,7,33,33,45,-
21/09/2025,60,6,33,49,60,-
20/09/2025,69,8,33,52,69,-
19/09/2025,61,10,33,51,61,-
18/09/2025,64,12,33,52,64,-
17/09/2025,49,7,33,49,46,25
16/09/2025,46,6,33,46,43,5
15/09/2025,45,22,32,35,45,37
14/09/2025,42,9,30,35,42,4
13/09/2025,30,9,30,27,30,4
12/09/2025,30,9,30,22,22,3
11/09/2025,33,11,30,33,30,3
10/09/2025,62,13,30,54,62,4
09/09/2025,51,9,30,51,42,4
08/09/2025,94,10,30,69,94,4
07/09/2025,58,10,30,58,46,4
06/09/2025,47,8,30,47,34,4
05/09/2025,42,9,30,35,42,4
04/09/2025,60,8,30,55,60,4
03/09/2025,57,10,30,50,57,3
02/09/2025,40,15,30,38,40,3
01/09/2025,47,12,30,40,47,4
31/08/2025,54,9,30,54,32,3
29/08/2025,64,13,30,54,64,4
28/08/2025,73,15,30,73,66,4
27/08/2025,64,16,30,64,32,3
26/08/2025,30,7,30,23,16,3
25/08/2025,42,9,30,42,28,3
24/08/2025,62,9,30,53,62,4
23/08/2025,50,9,30,50,33,3
22/08/2025,31,7,31,27,28,3
21/08/2025,31,7,31,30,30,3
20/08/2025,33,7,32,27,33,3
19/08/2025,28,8,28,19,22,3
18/08/2025,31,9,28,24,31,3
17/08/2025,39,9,28,37,39,3
16/08/2025,28,9,28,16,17,3
15/08/2025,30,7,28,19,24,3
14/08/2025,57,10,28,50,57,4
13/08/2025,42,8,28,34,42,4
12/08/2025,32,7,28,27,32,3
11/08/2025,45,8,28,34,45,4
10/08/2025,29,7,28,25,29,3
09/08/2025,43,7,28,39,43,3
08/08/2025,37,6,28,34,37,4
07/08/2025,35,7,28,30,35,4
06/08/2025,42,7,28,31,42,4
05/08/2025,46,8,28,46,41,4
04/08/2025,39,7,29,39,32,4
03/08/2025,39,7,29,37,39,4
02/08/2025,55,8,29,50,55,3
01/08/2025,29,8,29,24,20,3
31/07/2025,41,7,28,34,41,4
30/07/2025,45,7,29,42,45,4
29/07/2025,69,7,29,53,69,4
28/07/2025,53,8,29,43,53,4
27/07/2025,56,7,28,43,56,4
26/07/2025,60,8,28,46,60,3
25/07/2025,39,8,29,33,39,4
24/07/2025,28,6,28,15,19,3
23/07/2025,28,6,28,12,17,3
22/07/2025,29,5,29,10,12,3
21/07/2025,36,7,29,31,36,4
20/07/2025,36,7,28,36,36,3
19/07/2025,61,8,29,53,61,4
18/07/2025,37,7,32,37,36,4
17/07/2025,39,7,31,38,39,4
16/07/2025,32,5,30,30,32,4
15/07/2025,58,8,30,46,58,4
14/07/2025,48,8,30,40,48,4
13/07/2025,46,6,29,36,46,4
12/07/2025,54,7,25,43,54,4
11/07/2025,53,7,29,50,53,3
10/07/2025,47,10,32,46,47,3
09/07/2025,54,7,29,50,54,4
08/07/2025,46,6,32,46,42,3
26/05/2025,57,6,10,48,57,3
25/05/2025,40,5,4,36,40,3
24/05/2025,37,6,8,31,37,3
23/05/2025,23,7,10,22,23,4
22/05/2025,37,3,13,33,37,4
21/05/2025,34,4,9,33,34,3
20/05/2025,37,4,5,30,37,4
19/05/2025,25,4,4,22,25,3
18/05/2025,33,3,11,27,33,4
17/05/2025,34,4,9,27,34,3
16/05/2025,42,6,14,33,42,4
15/05/2025,54,4,5,38,54,7
14/05/2025,42,4,6,37,42,4
13/05/2025,63,5,12,50,63,7
12/05/2025,142,6,13,56,73,4
11/05/2025,44,4,6,28,26,4
10/05/2025,49,4,10,38,49,7
09/05/2025,55,4,6,46,55,4
08/05/2025,63,4,6,48,58,4
07/05/2025,50,3,5,38,50,5
06/05/2025,47,3,5,38,47,4
05/05/2025,64,4,5,45,59,4
04/05/2025,53,4,11,42,53,4
03/05/2025,54,3,4,37,54,5
02/05/2025,98,5,11,43,56,4
01/05/2025,46,6,12,33,42,4
30/04/2025,49,3,5,34,49,4
29/04/2025,76,7,29,55,76,4
