Date,VN_AQI,CO,NO2,PM-10,PM-2-5,SO2
06/10/2025,56,9,38,37,56,1
05/10/2025,91,10,44,56,91,2
04/10/2025,45,8,45,32,37,1
03/10/2025,31,9,31,21,26,1
02/10/2025,33,8,33,26,27,1
01/10/2025,25,4,25,16,19,1
30/09/2025,26,3,13,26,25,1
29/09/2025,20,3,20,19,17,2
28/09/2025,49,6,22,23,30,1
27/09/2025,35,6,26,27,35,1
26/09/2025,40,8,25,32,40,1
25/09/2025,45,6,27,36,45,2
24/09/2025,67,7,29,52,67,1
23/09/2025,51,7,29,41,51,1
22/09/2025,32,8,28,25,32,1
21/09/2025,47,6,30,35,47,1
20/09/2025,49,8,28,34,49,1
19/09/2025,42,8,24,32,42,2
18/09/2025,35,8,30,27,35,2
17/09/2025,34,8,23,29,34,1
16/09/2025,34,8,25,28,34,2
15/09/2025,29,13,29,23,24,1
14/09/2025,27,7,23,23,27,2
13/09/2025,22,5,20,19,22,1
12/09/2025,21,9,21,17,18,5
11/09/2025,23,6,23,20,22,1
10/09/2025,47,14,24,37,47,6
09/09/2025,30,7,26,30,30,2
08/09/2025,69,9,28,51,69,3
07/09/2025,32,5,24,28,32,1
06/09/2025,25,8,25,21,23,3
05/09/2025,27,8,25,22,27,2
04/09/2025,28,9,23,22,28,2
03/09/2025,30,14,29,23,30,2
02/09/2025,37,10,24,27,37,2
01/09/2025,28,7,23,23,28,1
31/08/2025,25,8,25,15,21,1
30/08/2025,35,6,23,29,35,2
29/08/2025,46,10,30,32,46,2
28/08/2025,33,9,26,25,33,1
27/08/2025,25,10,22,20,25,1
26/08/2025,19,4,18,19,17,1
25/08/2025,33,5,22,29,33,2
24/08/2025,57,7,29,45,57,2
23/08/2025,25,8,22,23,25,1
22/08/2025,19,3,18,19,17,1
21/08/2025,28,4,19,25,28,1
20/08/2025,19,4,19,19,19,1
19/08/2025,26,9,24,18,26,1
18/08/2025,35,5,27,28,35,2
17/08/2025,49,5,23,45,49,1
16/08/2025,23,8,23,14,17,1
15/08/2025,29,4,27,15,21,1
14/08/2025,51,7,31,36,51,2
13/08/2025,30,5,25,24,30,2
12/08/2025,24,4,22,19,24,1
11/08/2025,25,4,25,18,24,1
10/08/2025,33,3,24,25,33,1
09/08/2025,41,3,26,28,41,1
08/08/2025,38,7,31,27,34,38
07/08/2025,52,9,52,29,33,35
06/08/2025,35,6,10,29,35,1
05/08/2025,42,9,13,38,42,2
04/08/2025,35,6,13,35,35,2
03/08/2025,33,7,11,33,33,2
02/08/2025,39,7,15,33,39,2
01/08/2025,29,6,13,21,24,1
31/07/2025,47,8,11,34,47,2
30/07/2025,40,9,13,32,40,2
29/07/2025,50,9,15,40,50,2
28/07/2025,38,9,11,31,38,2
27/07/2025,42,6,8,33,42,1
26/07/2025,52,7,9,34,52,1
25/07/2025,31,8,12,23,31,1
24/07/2025,30,5,14,19,21,2
23/07/2025,16,7,9,16,15,1
22/07/2025,16,3,5,13,16,2
21/07/2025,37,12,13,24,37,2
20/07/2025,35,7,21,35,34,1
19/07/2025,64,6,16,50,64,2
18/07/2025,35,7,13,32,35,1
17/07/2025,29,6,13,28,29,1
16/07/2025,30,5,9,21,23,1
15/07/2025,40,7,10,33,40,1
14/07/2025,46,18,18,34,46,2
13/07/2025,52,6,9,33,52,1
12/07/2025,63,5,10,43,63,2
11/07/2025,48,7,12,35,48,1
10/07/2025,44,6,12,36,44,1
09/07/2025,43,8,13,38,43,1
08/07/2025,32,7,11,30,32,1
07/07/2025,33,4,8,26,33,1
