Date,Day_Of_Week,VN_AQI,CO,PM-10,PM-2-5,SO2,mon,tu,wed,thu,fri,sat,sun,north,middle,south,spring,summer,autumn,winter,dry,rain
2026-03-06,4,120,21,76,120,5,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
2026-03-05,3,74,16,56,74,7,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
2026-03-04,2,47,11,35,47,14,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
2026-03-03,1,41,5,32,41,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2026-03-02,0,51,15,41,51,8,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2026-03-01,6,54,11,44,54,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
2026-02-28,5,59,17,48,59,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
2026-02-27,4,88,20,58,88,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
2026-02-26,3,70,24,45,70,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
2026-02-25,2,67,26,48,67,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
2026-02-24,1,43,14,33,43,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2026-02-23,0,48,18,43,48,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2026-02-22,6,38,16,31,38,3,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
2026-02-21,5,77,15,52,77,8,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
2026-02-20,4,57,16,37,57,6,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
2026-02-19,3,93,11,53,93,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
2026-02-18,2,96,10,56,96,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
2026-02-17,1,141,9,68,141,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2026-02-16,0,50,8,37,50,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2026-02-15,6,61,10,48,61,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
